**********************
Windows PowerShell transcript start
Start time: 20190309103618
Username: PC_NTMS20\Administrator
RunAs User: PC_NTMS20\Administrator
Machine: PC_NTMS20 (Microsoft Windows NT 6.2.9200.0)
Host Application: C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe
Process ID: 3400
**********************
Transcript started, output file is C:\Users\Administrator\Documents\PowerShell_transcript.PC_NTMS20.SgcNLS+U.201903091036
18.txt

PS C:\Windows\System32> Get-Service

Status   Name               DisplayName


__NounName                 : Process
Name                       : AnyDesk
Handles                    : 223
VM                         : 101421056
WS                         : 19243008
PM                         : 14389248
NPM                        : 19936
Path                       : C:\Program Files (x86)\AnyDesk\AnyDesk.exe
Company                    : philandro Software GmbH
CPU                        : 197.921875
FileVersion                : 4.2.3.0
ProductVersion             : 4.2
Description                : AnyDesk
Product                    : AnyDesk
BasePriority               : 13
ExitCode                   :
HasExited                  : False
ExitTime                   :
Handle                     : 4044
SafeHandle                 : Microsoft.Win32.SafeHandles.SafeProcessHandle
HandleCount                : 223
Id                         : 1272
MachineName                : .
MainWindowHandle           : 0
MainWindowTitle            :
MainModule                 : System.Diagnostics.ProcessModule (AnyDesk.exe)
MaxWorkingSet              : 1413120
MinWorkingSet              : 204800
Modules                    : System.Diagnostics.ProcessModuleCollection
NonpagedSystemMemorySize   : 19936
NonpagedSystemMemorySize64 : 19936
PagedMemorySize            : 14389248
PagedMemorySize64          : 14389248
PagedSystemMemorySize      : 151672
PagedSystemMemorySize64    : 151672
PeakPagedMemorySize        : 18845696
PeakPagedMemorySize64      : 18845696
PeakWorkingSet             : 23502848
PeakWorkingSet64           : 23502848
PeakVirtualMemorySize      : 256126976
PeakVirtualMemorySize64    : 256126976
PriorityBoostEnabled       : True
PriorityClass              : High
PrivateMemorySize          : 14389248
PrivateMemorySize64        : 14389248
PrivilegedProcessorTime    : 00:01:11.3906250
ProcessName                : AnyDesk
ProcessorAffinity          : 15
Responding                 : True
SessionId                  : 0
StartInfo                  : System.Diagnostics.ProcessStartInfo
StartTime                  : 2/10/2019 6:02:21 PM
SynchronizingObject        :
Threads                    : System.Diagnostics.ProcessThreadCollection
TotalProcessorTime         : 00:03:17.9218750
UserProcessorTime          : 00:02:06.5312500
VirtualMemorySize          : 101421056
VirtualMemorySize64        : 101421056
EnableRaisingEvents        : False
StandardInput              :
StandardOutput             :
StandardError              :
WorkingSet                 : 19243008
WorkingSet64               : 19243008
Site                       :
Container                  :

__NounName                 : Process
Name                       : AnyDesk
Handles                    : 179
VM                         : 101916672
WS                         : 18690048
PM                         : 12972032
NPM                        : 14960
Path                       : C:\Program Files (x86)\AnyDesk\AnyDesk.exe
Company                    : philandro Software GmbH
CPU                        : 0.28125
FileVersion                : 4.2.3.0
ProductVersion             : 4.2
Description                : AnyDesk
Product                    : AnyDesk
BasePriority               : 8
ExitCode                   :
HasExited                  : False
ExitTime                   :
Handle                     : 3896
SafeHandle                 : Microsoft.Win32.SafeHandles.SafeProcessHandle
HandleCount                : 179
Id                         : 2388
MachineName                : .
MainWindowHandle           : 0
MainWindowTitle            :
MainModule                 : System.Diagnostics.ProcessModule (AnyDesk.exe)
MaxWorkingSet              : 1413120
MinWorkingSet              : 204800
Modules                    : System.Diagnostics.ProcessModuleCollection
NonpagedSystemMemorySize   : 14960
NonpagedSystemMemorySize64 : 14960
PagedMemorySize            : 12972032
PagedMemorySize64          : 12972032
PagedSystemMemorySize      : 192176
PagedSystemMemorySize64    : 192176
PeakPagedMemorySize        : 15953920
PeakPagedMemorySize64      : 15953920
PeakWorkingSet             : 18722816
PeakWorkingSet64           : 18722816
PeakVirtualMemorySize      : 104562688
PeakVirtualMemorySize64    : 104562688
PriorityBoostEnabled       : True
PriorityClass              : Normal
PrivateMemorySize          : 12972032
PrivateMemorySize64        : 12972032
PrivilegedProcessorTime    : 00:00:00.0625000
ProcessName                : AnyDesk
ProcessorAffinity          : 15
Responding                 : True
SessionId                  : 9
StartInfo                  : System.Diagnostics.ProcessStartInfo
StartTime                  : 3/9/2019 10:28:15 AM
SynchronizingObject        :
Threads                    : System.Diagnostics.ProcessThreadCollection
TotalProcessorTime         : 00:00:00.2812500
UserProcessorTime          : 00:00:00.2187500
VirtualMemorySize          : 101916672
VirtualMemorySize64        : 101916672
EnableRaisingEvents        : False
StandardInput              :
StandardOutput             :
StandardError              :
WorkingSet                 : 18690048
WorkingSet64               : 18690048
Site                       :
Container                  :

__NounName                 : Process
Name                       : chrome
Handles                    : 92
VM                         : 82587648
WS                         : 6144000
PM                         : 1519616
NPM                        : 8944
Path                       : C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
Company                    : Google Inc.
CPU                        : 0.03125
FileVersion                : 72.0.3626.119
ProductVersion             : 72.0.3626.119
Description                : Google Chrome
Product                    : Google Chrome
BasePriority               : 8
ExitCode                   :
HasExited                  : False
ExitTime                   :
Handle                     : 2616
SafeHandle                 : Microsoft.Win32.SafeHandles.SafeProcessHandle
HandleCount                : 92
Id                         : 792
MachineName                : .
MainWindowHandle           : 0
MainWindowTitle            :
MainModule                 : System.Diagnostics.ProcessModule (chrome.exe)
MaxWorkingSet              : 1413120
MinWorkingSet              : 204800
Modules                    : System.Diagnostics.ProcessModuleCollection
NonpagedSystemMemorySize   : 8944
NonpagedSystemMemorySize64 : 8944
PagedMemorySize            : 1519616
PagedMemorySize64          : 1519616
PagedSystemMemorySize      : 153072
PagedSystemMemorySize64    : 153072
PeakPagedMemorySize        : 2265088
PeakPagedMemorySize64      : 2265088
PeakWorkingSet             : 6144000
PeakWorkingSet64           : 6144000
PeakVirtualMemorySize      : 82587648
PeakVirtualMemorySize64    : 2199105843200
PriorityBoostEnabled       : True
PriorityClass              : Normal
PrivateMemorySize          : 1519616
PrivateMemorySize64        : 1519616
PrivilegedProcessorTime    : 00:00:00.0156250
ProcessName                : chrome
ProcessorAffinity          : 15
Responding                 : True
SessionId                  : 9
StartInfo                  : System.Diagnostics.ProcessStartInfo
StartTime                  : 3/9/2019 10:42:12 AM
SynchronizingObject        :
Threads                    : System.Diagnostics.ProcessThreadCollection
TotalProcessorTime         : 00:00:00.0312500
UserProcessorTime          : 00:00:00.0156250
VirtualMemorySize          : 82587648
VirtualMemorySize64        : 2199105843200
EnableRaisingEvents        : False
StandardInput              :
StandardOutput             :
StandardError              :
WorkingSet                 : 6144000
WorkingSet64               : 6144000
Site                       :
Container                  :

__NounName                 : Process
Name                       : chrome
Handles                    : 375
VM                         : 254160896
WS                         : 27504640
PM                         : 13148160
NPM                        : 19792
Path                       : C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
Company                    : Google Inc.
CPU                        : 1.171875
FileVersion                : 72.0.3626.119
ProductVersion             : 72.0.3626.119
Description                : Google Chrome
Product                    : Google Chrome
BasePriority               : 8
ExitCode                   :
HasExited                  : False
ExitTime                   :
Handle                     : 1576
SafeHandle                 : Microsoft.Win32.SafeHandles.SafeProcessHandle
HandleCount                : 375
Id                         : 1008
MachineName                : .
MainWindowHandle           : 0
MainWindowTitle            :
MainModule                 : System.Diagnostics.ProcessModule (chrome.exe)
MaxWorkingSet              : 1413120
MinWorkingSet              : 204800
Modules                    : System.Diagnostics.ProcessModuleCollection
NonpagedSystemMemorySize   : 19792
NonpagedSystemMemorySize64 : 19792
PagedMemorySize            : 13148160
PagedMemorySize64          : 13148160
PagedSystemMemorySize      : 451904
PagedSystemMemorySize64    : 451904
PeakPagedMemorySize        : 13524992
PeakPagedMemorySize64      : 13524992
PeakWorkingSet             : 28073984
PeakWorkingSet64           : 28073984
PeakVirtualMemorySize      : 277319680
PeakVirtualMemorySize64    : 2199300575232
PriorityBoostEnabled       : True
PriorityClass              : Normal
PrivateMemorySize          : 13148160
PrivateMemorySize64        : 13148160
PrivilegedProcessorTime    : 00:00:00.3750000
ProcessName                : chrome
ProcessorAffinity          : 15
Responding                 : True
SessionId                  : 9
StartInfo                  : System.Diagnostics.ProcessStartInfo
StartTime                  : 3/9/2019 10:42:12 AM
SynchronizingObject        :
Threads                    : System.Diagnostics.ProcessThreadCollection
TotalProcessorTime         : 00:00:01.1718750
UserProcessorTime          : 00:00:00.7968750
VirtualMemorySize          : 254160896
VirtualMemorySize64        : 2199277416448
EnableRaisingEvents        : False
StandardInput              :
StandardOutput             :
StandardError              :
WorkingSet                 : 27504640
WorkingSet64               : 27504640
Site                       :
Container                  :

__NounName                 : Process
Name                       : chrome
Handles                    : 1121
VM                         : 410832896
WS                         : 87429120
PM                         : 51396608
NPM                        : 52160
Path                       : C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
Company                    : Google Inc.
CPU                        : 9.65625
FileVersion                : 72.0.3626.119
ProductVersion             : 72.0.3626.119
Description                : Google Chrome
Product                    : Google Chrome
BasePriority               : 8
ExitCode                   :
HasExited                  : False
ExitTime                   :
Handle                     : 4060
SafeHandle                 : Microsoft.Win32.SafeHandles.SafeProcessHandle
HandleCount                : 1121
Id                         : 1444
MachineName                : .
MainWindowHandle           : 66162
MainWindowTitle            : Start-Transcript - Google Chrome
MainModule                 : System.Diagnostics.ProcessModule (chrome.exe)
MaxWorkingSet              : 1413120
MinWorkingSet              : 204800
Modules                    : System.Diagnostics.ProcessModuleCollection
NonpagedSystemMemorySize   : 52160
NonpagedSystemMemorySize64 : 52160
PagedMemorySize            : 51396608
PagedMemorySize64          : 51396608
PagedSystemMemorySize      : 640072
PagedSystemMemorySize64    : 640072
PeakPagedMemorySize        : 89632768
PeakPagedMemorySize64      : 89632768
PeakWorkingSet             : 120008704
PeakWorkingSet64           : 120008704
PeakVirtualMemorySize      : 504582144
PeakVirtualMemorySize64    : 2199527837696
PriorityBoostEnabled       : True
PriorityClass              : Normal
PrivateMemorySize          : 51396608
PrivateMemorySize64        : 51396608
PrivilegedProcessorTime    : 00:00:02.0312500
ProcessName                : chrome
ProcessorAffinity          : 15
Responding                 : True
SessionId                  : 9
StartInfo                  : System.Diagnostics.ProcessStartInfo
StartTime                  : 3/9/2019 10:42:12 AM
SynchronizingObject        :
Threads                    : System.Diagnostics.ProcessThreadCollection
TotalProcessorTime         : 00:00:09.6562500
UserProcessorTime          : 00:00:07.6250000
VirtualMemorySize          : 410832896
VirtualMemorySize64        : 2199434088448
EnableRaisingEvents        : False
StandardInput              :
StandardOutput             :
StandardError              :
WorkingSet                 : 87429120
WorkingSet64               : 87429120
Site                       :
Container                  :

__NounName                 : Process
Name                       : chrome
Handles                    : 363
VM                         : 383684608
WS                         : 79745024
PM                         : 28143616
NPM                        : 38224
Path                       : C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
Company                    : Google Inc.
CPU                        : 178.96875
FileVersion                : 72.0.3626.119
ProductVersion             : 72.0.3626.119
Description                : Google Chrome
Product                    : Google Chrome
BasePriority               : 8
ExitCode                   :
HasExited                  : False
ExitTime                   :
Handle                     : 3692
SafeHandle                 : Microsoft.Win32.SafeHandles.SafeProcessHandle
HandleCount                : 363
Id                         : 1452
MachineName                : .
MainWindowHandle           : 0
MainWindowTitle            :
MainModule                 : System.Diagnostics.ProcessModule (chrome.exe)
MaxWorkingSet              : 1413120
MinWorkingSet              : 204800
Modules                    : System.Diagnostics.ProcessModuleCollection
NonpagedSystemMemorySize   : 38224
NonpagedSystemMemorySize64 : 38224
PagedMemorySize            : 28143616
PagedMemorySize64          : 28143616
PagedSystemMemorySize      : 543504
PagedSystemMemorySize64    : 543504
PeakPagedMemorySize        : 142778368
PeakPagedMemorySize64      : 142778368
PeakWorkingSet             : 96940032
PeakWorkingSet64           : 96940032
PeakVirtualMemorySize      : 407629824
PeakVirtualMemorySize64    : 2199430885376
PriorityBoostEnabled       : True
PriorityClass              : Normal
PrivateMemorySize          : 28143616
PrivateMemorySize64        : 28143616
PrivilegedProcessorTime    : 00:00:49.8281250
ProcessName                : chrome
ProcessorAffinity          : 15
Responding                 : True
SessionId                  : 9
StartInfo                  : System.Diagnostics.ProcessStartInfo
StartTime                  : 3/9/2019 10:42:12 AM
SynchronizingObject        :
Threads                    : System.Diagnostics.ProcessThreadCollection
TotalProcessorTime         : 00:02:58.9687500
UserProcessorTime          : 00:02:09.1406250
VirtualMemorySize          : 383684608
VirtualMemorySize64        : 2199406940160
EnableRaisingEvents        : False
StandardInput              :
StandardOutput             :
StandardError              :
WorkingSet                 : 79745024
WorkingSet64               : 79745024
Site                       :
Container                  :

__NounName                 : Process
Name                       : chrome
Handles                    : 205
VM                         : 377057280
WS                         : 19894272
PM                         : 14245888
NPM                        : 18400
Path                       : C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
Company                    : Google Inc.
CPU                        : 0.078125
FileVersion                : 72.0.3626.119
ProductVersion             : 72.0.3626.119
Description                : Google Chrome
Product                    : Google Chrome
BasePriority               : 4
ExitCode                   :
HasExited                  : False
ExitTime                   :
Handle                     : 3408
SafeHandle                 : Microsoft.Win32.SafeHandles.SafeProcessHandle
HandleCount                : 205
Id                         : 1480
MachineName                : .
MainWindowHandle           : 0
MainWindowTitle            :
MainModule                 : System.Diagnostics.ProcessModule (chrome.exe)
MaxWorkingSet              : 1413120
MinWorkingSet              : 204800
Modules                    : System.Diagnostics.ProcessModuleCollection
NonpagedSystemMemorySize   : 18400
NonpagedSystemMemorySize64 : 18400
PagedMemorySize            : 14245888
PagedMemorySize64          : 14245888
PagedSystemMemorySize      : 391120
PagedSystemMemorySize64    : 391120
PeakPagedMemorySize        : 14475264
PeakPagedMemorySize64      : 14475264
PeakWorkingSet             : 20078592
PeakWorkingSet64           : 20078592
PeakVirtualMemorySize      : 379162624
PeakVirtualMemorySize64    : 2199402418176
PriorityBoostEnabled       : True
PriorityClass              : Idle
PrivateMemorySize          : 14245888
PrivateMemorySize64        : 14245888
PrivilegedProcessorTime    : 00:00:00.0468750
ProcessName                : chrome
ProcessorAffinity          : 15
Responding                 : True
SessionId                  : 9
StartInfo                  : System.Diagnostics.ProcessStartInfo
StartTime                  : 3/9/2019 10:56:53 AM
SynchronizingObject        :
Threads                    : System.Diagnostics.ProcessThreadCollection
TotalProcessorTime         : 00:00:00.0781250
UserProcessorTime          : 00:00:00.0312500
VirtualMemorySize          : 377057280
VirtualMemorySize64        : 2199400312832
EnableRaisingEvents        : False
StandardInput              :
StandardOutput             :
StandardError              :
WorkingSet                 : 19894272
WorkingSet64               : 19894272
Site                       :
Container                  :

__NounName                 : Process
Name                       : chrome
Handles                    : 256
VM                         : 420610048
WS                         : 45203456
PM                         : 25935872
NPM                        : 23520
Path                       : C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
Company                    : Google Inc.
CPU                        : 0.59375
FileVersion                : 72.0.3626.119
ProductVersion             : 72.0.3626.119
Description                : Google Chrome
Product                    : Google Chrome
BasePriority               : 4
ExitCode                   :
HasExited                  : False
ExitTime                   :
Handle                     : 2960
SafeHandle                 : Microsoft.Win32.SafeHandles.SafeProcessHandle
HandleCount                : 256
Id                         : 2508
MachineName                : .
MainWindowHandle           : 0
MainWindowTitle            :
MainModule                 : System.Diagnostics.ProcessModule (chrome.exe)
MaxWorkingSet              : 1413120
MinWorkingSet              : 204800
Modules                    : System.Diagnostics.ProcessModuleCollection
NonpagedSystemMemorySize   : 23520
NonpagedSystemMemorySize64 : 23520
PagedMemorySize            : 25935872
PagedMemorySize64          : 25935872
PagedSystemMemorySize      : 423128
PagedSystemMemorySize64    : 423128
PeakPagedMemorySize        : 27197440
PeakPagedMemorySize64      : 27197440
PeakWorkingSet             : 45735936
PeakWorkingSet64           : 45735936
PeakVirtualMemorySize      : 424820736
PeakVirtualMemorySize64    : 2199448076288
PriorityBoostEnabled       : True
PriorityClass              : Idle
PrivateMemorySize          : 25935872
PrivateMemorySize64        : 25935872
PrivilegedProcessorTime    : 00:00:00.1406250
ProcessName                : chrome
ProcessorAffinity          : 15
Responding                 : True
SessionId                  : 9
StartInfo                  : System.Diagnostics.ProcessStartInfo
StartTime                  : 3/9/2019 10:42:13 AM
SynchronizingObject        :
Threads                    : System.Diagnostics.ProcessThreadCollection
TotalProcessorTime         : 00:00:00.5937500
UserProcessorTime          : 00:00:00.4531250
VirtualMemorySize          : 420610048
VirtualMemorySize64        : 2199443865600
EnableRaisingEvents        : False
StandardInput              :
StandardOutput             :
StandardError              :
WorkingSet                 : 45203456
WorkingSet64               : 45203456
Site                       :
Container                  :

__NounName                 : Process
Name                       : chrome
Handles                    : 322
VM                         : 658300928
WS                         : 82587648
PM                         : 53739520
NPM                        : 34912
Path                       : C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
Company                    : Google Inc.
CPU                        : 1.5
FileVersion                : 72.0.3626.119
ProductVersion             : 72.0.3626.119
Description                : Google Chrome
Product                    : Google Chrome
BasePriority               : 4
ExitCode                   :
HasExited                  : False
ExitTime                   :
Handle                     : 3712
SafeHandle                 : Microsoft.Win32.SafeHandles.SafeProcessHandle
HandleCount                : 322
Id                         : 2684
MachineName                : .
MainWindowHandle           : 0
MainWindowTitle            :
MainModule                 : System.Diagnostics.ProcessModule (chrome.exe)
MaxWorkingSet              : 1413120
MinWorkingSet              : 204800
Modules                    : System.Diagnostics.ProcessModuleCollection
NonpagedSystemMemorySize   : 34912
NonpagedSystemMemorySize64 : 34912
PagedMemorySize            : 53739520
PagedMemorySize64          : 53739520
PagedSystemMemorySize      : 527192
PagedSystemMemorySize64    : 527192
PeakPagedMemorySize        : 64249856
PeakPagedMemorySize64      : 64249856
PeakWorkingSet             : 99119104
PeakWorkingSet64           : 99119104
PeakVirtualMemorySize      : 711704576
PeakVirtualMemorySize64    : 2199734960128
PriorityBoostEnabled       : True
PriorityClass              : Idle
PrivateMemorySize          : 53739520
PrivateMemorySize64        : 53739520
PrivilegedProcessorTime    : 00:00:00.1875000
ProcessName                : chrome
ProcessorAffinity          : 15
Responding                 : True
SessionId                  : 9
StartInfo                  : System.Diagnostics.ProcessStartInfo
StartTime                  : 3/9/2019 10:49:53 AM
SynchronizingObject        :
Threads                    : System.Diagnostics.ProcessThreadCollection
TotalProcessorTime         : 00:00:01.5000000
UserProcessorTime          : 00:00:01.3125000
VirtualMemorySize          : 658300928
VirtualMemorySize64        : 2199681556480
EnableRaisingEvents        : False
StandardInput              :
StandardOutput             :
StandardError              :
WorkingSet                 : 82587648
WorkingSet64               : 82587648
Site                       :
Container                  :

__NounName                 : Process
Name                       : chrome
Handles                    : 495
VM                         : 775626752
WS                         : 96866304
PM                         : 59711488
NPM                        : 43872
Path                       : C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
Company                    : Google Inc.
CPU                        : 228.140625
FileVersion                : 72.0.3626.119
ProductVersion             : 72.0.3626.119
Description                : Google Chrome
Product                    : Google Chrome
BasePriority               : 8
ExitCode                   :
HasExited                  : False
ExitTime                   :
Handle                     : 2896
SafeHandle                 : Microsoft.Win32.SafeHandles.SafeProcessHandle
HandleCount                : 495
Id                         : 3608
MachineName                : .
MainWindowHandle           : 0
MainWindowTitle            :
MainModule                 : System.Diagnostics.ProcessModule (chrome.exe)
MaxWorkingSet              : 1413120
MinWorkingSet              : 204800
Modules                    : System.Diagnostics.ProcessModuleCollection
NonpagedSystemMemorySize   : 43872
NonpagedSystemMemorySize64 : 43872
PagedMemorySize            : 59711488
PagedMemorySize64          : 59711488
PagedSystemMemorySize      : 759928
PagedSystemMemorySize64    : 759928
PeakPagedMemorySize        : 64692224
PeakPagedMemorySize64      : 64692224
PeakWorkingSet             : 115654656
PeakWorkingSet64           : 115654656
PeakVirtualMemorySize      : 796622848
PeakVirtualMemorySize64    : 2199819878400
PriorityBoostEnabled       : True
PriorityClass              : Normal
PrivateMemorySize          : 59711488
PrivateMemorySize64        : 59711488
PrivilegedProcessorTime    : 00:00:05.4843750
ProcessName                : chrome
ProcessorAffinity          : 15
Responding                 : True
SessionId                  : 9
StartInfo                  : System.Diagnostics.ProcessStartInfo
StartTime                  : 3/9/2019 10:43:21 AM
SynchronizingObject        :
Threads                    : System.Diagnostics.ProcessThreadCollection
TotalProcessorTime         : 00:03:48.1406250
UserProcessorTime          : 00:03:42.6562500
VirtualMemorySize          : 775626752
VirtualMemorySize64        : 2199798882304
EnableRaisingEvents        : False
StandardInput              :
StandardOutput             :
StandardError              :
WorkingSet                 : 96866304
WorkingSet64               : 96866304
Site                       :
Container                  :

__NounName                 : Process
Name                       : chrome
Handles                    : 153
VM                         : 86372352
WS                         : 5582848
PM                         : 1540096
NPM                        : 9200
Path                       : C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
Company                    : Google Inc.
CPU                        : 0.015625
FileVersion                : 72.0.3626.119
ProductVersion             : 72.0.3626.119
Description                : Google Chrome
Product                    : Google Chrome
BasePriority               : 8
ExitCode                   :
HasExited                  : False
ExitTime                   :
Handle                     : 3668
SafeHandle                 : Microsoft.Win32.SafeHandles.SafeProcessHandle
HandleCount                : 153
Id                         : 4472
MachineName                : .
MainWindowHandle           : 0
MainWindowTitle            :
MainModule                 : System.Diagnostics.ProcessModule (chrome.exe)
MaxWorkingSet              : 1413120
MinWorkingSet              : 204800
Modules                    : System.Diagnostics.ProcessModuleCollection
NonpagedSystemMemorySize   : 9200
NonpagedSystemMemorySize64 : 9200
PagedMemorySize            : 1540096
PagedMemorySize64          : 1540096
PagedSystemMemorySize      : 146384
PagedSystemMemorySize64    : 146384
PeakPagedMemorySize        : 1589248
PeakPagedMemorySize64      : 1589248
PeakWorkingSet             : 5607424
PeakWorkingSet64           : 5607424
PeakVirtualMemorySize      : 88477696
PeakVirtualMemorySize64    : 2199111733248
PriorityBoostEnabled       : True
PriorityClass              : Normal
PrivateMemorySize          : 1540096
PrivateMemorySize64        : 1540096
PrivilegedProcessorTime    : 00:00:00.0156250
ProcessName                : chrome
ProcessorAffinity          : 15
Responding                 : True
SessionId                  : 9
StartInfo                  : System.Diagnostics.ProcessStartInfo
StartTime                  : 3/9/2019 10:42:12 AM
SynchronizingObject        :
Threads                    : System.Diagnostics.ProcessThreadCollection
TotalProcessorTime         : 00:00:00.0156250
UserProcessorTime          : 00:00:00
VirtualMemorySize          : 86372352
VirtualMemorySize64        : 2199109627904
EnableRaisingEvents        : False
StandardInput              :
StandardOutput             :
StandardError              :
WorkingSet                 : 5582848
WorkingSet64               : 5582848
Site                       :
Container                  :

__NounName                 : Process
Name                       : chrome
Handles                    : 324
VM                         : 659460096
WS                         : 81801216
PM                         : 54890496
NPM                        : 34400
Path                       : C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
Company                    : Google Inc.
CPU                        : 3.25
FileVersion                : 72.0.3626.119
ProductVersion             : 72.0.3626.119
Description                : Google Chrome
Product                    : Google Chrome
BasePriority               : 4
ExitCode                   :
HasExited                  : False
ExitTime                   :
Handle                     : 2552
SafeHandle                 : Microsoft.Win32.SafeHandles.SafeProcessHandle
HandleCount                : 324
Id                         : 4652
MachineName                : .
MainWindowHandle           : 0
MainWindowTitle            :
MainModule                 : System.Diagnostics.ProcessModule (chrome.exe)
MaxWorkingSet              : 1413120
MinWorkingSet              : 204800
Modules                    : System.Diagnostics.ProcessModuleCollection
NonpagedSystemMemorySize   : 34400
NonpagedSystemMemorySize64 : 34400
PagedMemorySize            : 54890496
PagedMemorySize64          : 54890496
PagedSystemMemorySize      : 528432
PagedSystemMemorySize64    : 528432
PeakPagedMemorySize        : 61423616
PeakPagedMemorySize64      : 61423616
PeakWorkingSet             : 107024384
PeakWorkingSet64           : 107024384
PeakVirtualMemorySize      : 721960960
PeakVirtualMemorySize64    : 2199745216512
PriorityBoostEnabled       : True
PriorityClass              : Idle
PrivateMemorySize          : 54890496
PrivateMemorySize64        : 54890496
PrivilegedProcessorTime    : 00:00:00.2500000
ProcessName                : chrome
ProcessorAffinity          : 15
Responding                 : True
SessionId                  : 9
StartInfo                  : System.Diagnostics.ProcessStartInfo
StartTime                  : 3/9/2019 10:56:52 AM
SynchronizingObject        :
Threads                    : System.Diagnostics.ProcessThreadCollection
TotalProcessorTime         : 00:00:03.2500000
UserProcessorTime          : 00:00:03
VirtualMemorySize          : 659460096
VirtualMemorySize64        : 2199682715648
EnableRaisingEvents        : False
StandardInput              :
StandardOutput             :
StandardError              :
WorkingSet                 : 81801216
WorkingSet64               : 81801216
Site                       :
Container                  :

__NounName                 : Process
Name                       : csrss
Handles                    : 334
VM                         : 47153152
WS                         : 4464640
PM                         : 1970176
NPM                        : 13504
Path                       :
Company                    :
CPU                        : 1.765625
FileVersion                :
ProductVersion             :
Description                :
Product                    :
BasePriority               : 13
ExitCode                   :
HasExited                  :
ExitTime                   :
Handle                     :
SafeHandle                 :
HandleCount                : 334
Id                         : 416
MachineName                : .
MainWindowHandle           : 0
MainWindowTitle            :
MainModule                 :
MaxWorkingSet              :
MinWorkingSet              :
Modules                    :
NonpagedSystemMemorySize   : 13504
NonpagedSystemMemorySize64 : 13504
PagedMemorySize            : 1970176
PagedMemorySize64          : 1970176
PagedSystemMemorySize      : 140248
PagedSystemMemorySize64    : 140248
PeakPagedMemorySize        : 2052096
PeakPagedMemorySize64      : 2052096
PeakWorkingSet             : 4530176
PeakWorkingSet64           : 4530176
PeakVirtualMemorySize      : 48545792
PeakVirtualMemorySize64    : 48545792
PriorityBoostEnabled       :
PriorityClass              :
PrivateMemorySize          : 1970176
PrivateMemorySize64        : 1970176
PrivilegedProcessorTime    : 00:00:01.3906250
ProcessName                : csrss
ProcessorAffinity          :
Responding                 : True
SessionId                  : 0
StartInfo                  : System.Diagnostics.ProcessStartInfo
StartTime                  : 2/10/2019 6:02:19 PM
SynchronizingObject        :
Threads                    : System.Diagnostics.ProcessThreadCollection
TotalProcessorTime         : 00:00:01.7656250
UserProcessorTime          : 00:00:00.3750000
VirtualMemorySize          : 47153152
VirtualMemorySize64        : 47153152
EnableRaisingEvents        : False
StandardInput              :
StandardOutput             :
StandardError              :
WorkingSet                 : 4464640
WorkingSet64               : 4464640
Site                       :
Container                  :

__NounName                 : Process
Name                       : csrss
Handles                    : 233
VM                         : 78454784
WS                         : 36106240
PM                         : 2211840
NPM                        : 17696
Path                       :
Company                    :
CPU                        : 4.4375
FileVersion                :
ProductVersion             :
Description                :
Product                    :
BasePriority               : 13
ExitCode                   :
HasExited                  :
ExitTime                   :
Handle                     :
SafeHandle                 :
HandleCount                : 233
Id                         : 2904
MachineName                : .
MainWindowHandle           : 0
MainWindowTitle            :
MainModule                 :
MaxWorkingSet              :
MinWorkingSet              :
Modules                    :
NonpagedSystemMemorySize   : 17696
NonpagedSystemMemorySize64 : 17696
PagedMemorySize            : 2211840
PagedMemorySize64          : 2211840
PagedSystemMemorySize      : 186336
PagedSystemMemorySize64    : 186336
PeakPagedMemorySize        : 2285568
PeakPagedMemorySize64      : 2285568
PeakWorkingSet             : 44376064
PeakWorkingSet64           : 44376064
PeakVirtualMemorySize      : 89903104
PeakVirtualMemorySize64    : 89903104
PriorityBoostEnabled       :
PriorityClass              :
PrivateMemorySize          : 2211840
PrivateMemorySize64        : 2211840
PrivilegedProcessorTime    : 00:00:04.3437500
ProcessName                : csrss
ProcessorAffinity          :
Responding                 : True
SessionId                  : 9
StartInfo                  : System.Diagnostics.ProcessStartInfo
StartTime                  : 3/8/2019 8:47:51 PM
SynchronizingObject        :
Threads                    : System.Diagnostics.ProcessThreadCollection
TotalProcessorTime         : 00:00:04.4375000
UserProcessorTime          : 00:00:00.0937500
VirtualMemorySize          : 78454784
VirtualMemorySize64        : 78454784
EnableRaisingEvents        : False
StandardInput              :
StandardOutput             :
StandardError              :
WorkingSet                 : 36106240
WorkingSet64               : 36106240
Site                       :
Container                  :

__NounName                 : Process
Name                       : dasHost
Handles                    : 396
VM                         : 89460736
WS                         : 18362368
PM                         : 10723328
NPM                        : 18400
Path                       : C:\Windows\system32\dashost.exe
Company                    : Microsoft Corporation
CPU                        : 49.09375
